 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.41,0.27,0.58,0.46,0.57,0.55,0.62,0.31,0.45,0.44,0.62,0.67,0.64,0.42,0.42,0.22,0.34,DST_114_M_NUT.csv
0.88,0.99,0.27,0.99,0.56,0.13,0.26,0.61,0.74,0.73,0.77,0.89,0.93,0.63,0.9,0.66,0.22,DST_048_M_FER.csv
0.89,0.84,0.68,0.53,0.44,0.19,0.26,0.33,0.59,0.57,0.54,0.67,0.59,0.47,0.49,0.41,0.58,DST_015_M_NUT.csv
0.85,0.97,0.37,0.98,0.26,0.46,0.31,0.42,0.43,0.13,0.45,0.44,0.31,0.54,0.72,0.69,0.44,DST_177_F_SUR.csv
0.69,0.45,0.89,0.45,0.55,0.71,0.41,0.46,0.52,0.53,0.77,0.91,0.7,0.65,0.31,0.41,0.31,DST_118_M_ANG.csv
0.21,0.19,0.71,0.56,0.71,0.98,0.96,0.53,0.33,0.32,0.53,0.77,0.21,0.63,0.24,0.14,0.39,DST_135_F_DIS.csv
0.5,0.58,0.41,0.38,0.59,0.36,0.73,0.62,0.54,0.73,0.7,0.78,0.68,0.55,0.44,0.42,0.45,DST_013_M_NUT.csv
0.2,0.15,0.79,0.17,0.93,0.98,0.98,0.94,0.7,0.68,0.51,0.93,0.52,0.62,0.4,0.6,0.24,DST_119_M_DIS.csv
0.28,0.32,0.83,0.6,0.76,0.98,0.97,0.5,0.28,0.23,0.49,0.74,0.35,0.68,0.3,0.17,0.34,DST_145_F_DIS.csv
0.92,0.98,0.31,0.99,0.45,0.06,0.18,0.41,0.63,0.71,0.7,0.73,0.82,0.52,0.44,0.54,0.14,DST_018_M_FER.csv
0.71,0.44,0.87,0.33,0.57,0.85,0.41,0.51,0.33,0.35,0.68,0.73,0.81,0.5,0.73,0.74,0.68,DST_124_F_SAD.csv
0.76,0.54,0.86,0.46,0.75,0.94,0.71,0.71,0.67,0.89,0.32,0.93,0.64,0.83,0.44,0.51,0.4,DST_163_F_ANG.csv
0.76,0.38,0.89,0.54,0.6,0.85,0.46,0.46,0.45,0.67,0.87,0.96,0.84,0.6,0.25,0.65,0.48,DST_136_F_SAD.csv
0.48,0.57,0.31,0.61,0.91,0.74,0.46,0.92,0.94,0.81,0.43,0.8,0.59,0.73,0.56,0.39,0.23,DST_047_M_HPY.csv
0.61,0.43,0.74,0.41,0.8,0.72,0.4,0.66,0.9,0.78,0.81,0.87,0.73,0.58,0.34,0.27,0.32,DST_064_M_SAD.csv
0.81,0.95,0.35,0.98,0.19,0.45,0.46,0.23,0.28,0.21,0.44,0.3,0.27,0.46,0.66,0.68,0.3,DST_135_F_SUR.csv
0.59,0.39,0.55,0.55,0.53,0.56,0.53,0.64,0.6,0.47,0.76,0.51,0.8,0.31,0.58,0.45,0.4,DST_002_F_NUT.csv
0.34,0.41,0.45,0.72,0.82,0.47,0.56,0.65,0.84,0.82,0.67,0.88,0.78,0.67,0.68,0.62,0.23,DST_108_M_ANG.csv
0.72,0.27,0.74,0.42,0.45,0.82,0.29,0.27,0.34,0.36,0.84,0.77,0.9,0.52,0.39,0.28,0.5,DST_171_F_SAD.csv
0.54,0.54,0.28,0.68,0.8,0.46,0.45,0.65,0.93,0.94,0.18,0.38,0.62,0.54,0.42,0.32,0.16,DST_032_F_HPY.csv
0.56,0.54,0.25,0.32,0.95,0.91,0.51,0.88,0.97,0.96,0.39,0.75,0.57,0.63,0.71,0.4,0.37,DST_026_M_HPY.csv
0.54,0.61,0.39,0.69,0.76,0.25,0.5,0.71,0.94,0.91,0.25,0.45,0.68,0.54,0.51,0.31,0.46,DST_159_F_HPY.csv
0.47,0.42,0.66,0.26,0.77,0.97,0.95,0.64,0.38,0.42,0.62,0.81,0.44,0.63,0.47,0.37,0.52,DST_183_F_DIS.csv
0.66,0.81,0.67,0.86,0.62,0.34,0.76,0.49,0.49,0.67,0.36,0.82,0.35,0.57,0.51,0.2,0.34,DST_163_F_NUT.csv
0.78,0.91,0.51,0.99,0.27,0.42,0.46,0.39,0.28,0.09,0.47,0.66,0.25,0.43,0.91,0.89,0.29,DST_026_M_SUR.csv
0.5,0.35,0.95,0.69,0.63,0.87,0.57,0.4,0.4,0.62,0.72,0.94,0.51,0.67,0.16,0.54,0.19,DST_114_M_ANG.csv
0.29,0.37,0.35,0.47,0.86,0.94,0.59,0.65,0.94,0.89,0.39,0.45,0.69,0.65,0.62,0.59,0.56,DST_185_F_HPY.csv
0.56,0.67,0.18,0.65,0.41,0.28,0.19,0.41,0.68,0.78,0.24,0.6,0.59,0.58,0.45,0.34,0.48,DST_162_F_NUT.csv
0.58,0.55,0.98,0.47,0.79,0.83,0.72,0.74,0.57,0.64,0.86,0.96,0.83,0.72,0.44,0.76,0.41,DST_020_M_SAD.csv
0.51,0.68,0.13,0.79,0.82,0.79,0.75,0.79,0.92,0.76,0.44,0.61,0.82,0.64,0.54,0.5,0.41,DST_042_F_HPY.csv
0.95,0.99,0.4,0.93,0.56,0.42,0.47,0.51,0.66,0.64,0.82,0.76,0.87,0.63,0.58,0.46,0.4,DST_020_M_FER.csv
